Body
Date,Weight,BMI,Fat
"01-04-2018","82.7","22.43","0"
"02-04-2018","82.63","22.42","0"
"03-04-2018","82.57","22.4","0"
"04-04-2018","82.51","22.38","0"
"05-04-2018","82.45","22.37","0"
"06-04-2018","82.39","22.35","0"
"07-04-2018","82.33","22.33","0"
"08-04-2018","82.27","22.32","0"
"09-04-2018","82.21","22.3","0"
"10-04-2018","82.15","22.28","0"
"11-04-2018","82.09","22.27","0"
"12-04-2018","82.02","22.25","0"
"13-04-2018","81.96","22.23","0"
"14-04-2018","81.9","22.22","0"
"15-04-2018","81.84","22.2","0"
"16-04-2018","81.78","22.18","0"
"17-04-2018","81.7","22.16","0"
"18-04-2018","81.76","22.18","0"
"19-04-2018","81.81","22.19","0"
"20-04-2018","81.87","22.21","0"
"21-04-2018","81.93","22.22","0"
"22-04-2018","81.99","22.24","0"
"23-04-2018","82.04","22.26","0"
"24-04-2018","82.1","22.27","0"
"25-04-2018","82.16","22.29","0"
"26-04-2018","82.21","22.3","0"
"27-04-2018","82.27","22.32","0"
"28-04-2018","82.33","22.33","0"
"29-04-2018","82.38","22.35","0"
"30-04-2018","82.44","22.36","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-04-2018","2,811","6,739","5.37","12","823","128","16","36","1,077"
"02-04-2018","3,217","13,318","10.61","22","697","177","44","58","1,585"
"03-04-2018","2,763","6,706","5.36","3","756","165","9","27","1,051"
"04-04-2018","2,659","5,892","4.7","8","780","199","0","0","923"
"05-04-2018","2,856","7,031","5.6","16","781","149","18","42","1,145"
"06-04-2018","3,489","13,787","13.51","17","718","174","15","57","1,785"
"07-04-2018","3,306","10,060","8.02","28","674","261","16","29","1,714"
"08-04-2018","2,887","6,670","5.32","17","789","125","30","32","1,123"
"09-04-2018","2,809","6,436","5.15","11","816","131","25","34","1,074"
"10-04-2018","2,946","7,256","5.78","9","787","153","34","40","1,272"
"11-04-2018","3,691","15,340","12.23","12","591","166","32","109","2,119"
"12-04-2018","2,913","8,399","6.69","13","736","143","5","45","1,190"
"13-04-2018","2,991","7,872","6.27","25","699","195","15","29","1,326"
"14-04-2018","3,373","9,607","7.41","12","640","176","28","62","1,738"
"15-04-2018","3,138","9,850","9.1","17","740","127","23","60","1,434"
"16-04-2018","2,749","5,892","4.7","9","760","141","17","29","1,001"
"17-04-2018","2,810","6,527","5.2","7","758","163","23","20","1,078"
"18-04-2018","3,119","9,144","7.33","10","703","214","13","21","1,452"
"19-04-2018","3,144","8,218","6.55","7","793","172","26","40","1,488"
"20-04-2018","3,695","12,138","9.62","5","598","351","39","29","2,223"
"21-04-2018","4,251","22,022","20.74","5","579","224","23","129","2,700"
"22-04-2018","3,882","18,077","14.41","10","524","209","40","111","2,369"
"23-04-2018","2,599","4,969","3.96","14","736","158","7","4","855"
"24-04-2018","4,297","17,184","17.53","10","637","179","43","118","2,764"
"25-04-2018","3,039","9,106","7.26","25","683","177","37","28","1,368"
"26-04-2018","2,958","8,655","6.9","1","774","151","21","40","1,236"
"27-04-2018","3,901","17,803","14.19","3","557","221","56","109","2,433"
"28-04-2018","3,733","17,802","16.38","4","582","192","32","82","2,127"
"29-04-2018","2,962","7,790","6.21","2","699","207","28","29","1,306"
"30-04-2018","2,163","1,116","0.89","0","909","61","0","0","248"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"29-04-2018 11:18 pm","30-04-2018 7:08 am","391","79","31","470","47","227","117"
"29-04-2018 12:48 am","29-04-2018 8:45 am","387","90","34","477","48","285","54"
"28-04-2018 1:07 am","28-04-2018 10:19 am","445","107","29","552","74","280","91"
"27-04-2018 1:25 am","27-04-2018 9:42 am","407","90","31","497","65","247","95"
"25-04-2018 11:25 pm","26-04-2018 6:59 am","388","66","25","454","58","256","74"
"24-04-2018 10:51 pm","25-04-2018 7:26 am","430","85","35","515","72","292","66"
"23-04-2018 11:14 pm","24-04-2018 6:57 am","372","91","25","463","42","250","80"
"22-04-2018 10:40 pm","23-04-2018 7:35 am","436","99","33","535","43","324","69"
"21-04-2018 11:28 pm","22-04-2018 8:44 am","461","95","34","556","87","267","107"
"20-04-2018 11:56 pm","21-04-2018 8:01 am","399","86","39","485","54","260","85"
"19-04-2018 11:59 pm","20-04-2018 7:02 am","347","76","23","423","44","234","69"
"19-04-2018 12:35 am","19-04-2018 7:24 am","354","55","28","409","71","188","95"
"17-04-2018 11:26 pm","18-04-2018 7:35 am","414","75","34","489","58","279","77"
"16-04-2018 10:57 pm","17-04-2018 6:53 am","389","87","27","476","45","290","54"
"15-04-2018 10:58 pm","16-04-2018 7:11 am","433","60","35","493","48","346","39"
"15-04-2018 12:44 am","15-04-2018 8:54 am","408","82","32","490","83","248","77"
"13-04-2018 11:25 pm","14-04-2018 8:19 am","438","96","38","534","75","264","99"
"12-04-2018 11:07 pm","13-04-2018 7:29 am","420","82","32","502","55","288","77"
"11-04-2018 10:37 pm","12-04-2018 7:08 am","412","99","35","511","70","266","76"
"11-04-2018 4:43 pm","11-04-2018 6:20 pm","87","10","2","97","N/A","N/A","N/A"
"10-04-2018 11:42 pm","11-04-2018 7:07 am","377","68","33","445","52","239","86"
"09-04-2018 11:43 pm","10-04-2018 6:49 am","357","69","30","426","55","215","87"
"08-04-2018 11:39 pm","09-04-2018 6:53 am","343","91","18","434","63","227","53"
"07-04-2018 11:51 pm","08-04-2018 7:35 am","376","88","25","464","51","265","60"
"06-04-2018 11:59 pm","07-04-2018 7:39 am","390","70","30","460","78","208","104"
"05-04-2018 11:26 pm","06-04-2018 7:22 am","399","77","28","476","79","253","67"
"04-04-2018 11:35 pm","05-04-2018 7:05 am","401","49","27","450","115","189","97"
"03-04-2018 11:41 pm","04-04-2018 7:22 am","377","84","34","461","38","264","75"
"02-04-2018 11:14 pm","03-04-2018 7:17 am","405","78","38","483","79","214","112"
"02-04-2018 12:55 am","02-04-2018 8:39 am","389","75","24","464","75","251","63"
"01-04-2018 1:00 am","01-04-2018 8:17 am","394","43","32","437","105","188","101"

