Body
Date,Weight,BMI,Fat
"01-05-2018","82.36","22.34","0"
"02-05-2018","82.41","22.35","0"
"03-05-2018","82.45","22.37","0"
"04-05-2018","82.5","22.38","0"
"05-05-2018","82.36","22.34","0"
"06-05-2018","82.22","22.3","0"
"07-05-2018","82.08","22.27","0"
"08-05-2018","81.94","22.23","0"
"09-05-2018","81.8","22.19","0"
"10-05-2018","81.8","22.19","0"
"11-05-2018","81.8","22.19","0"
"12-05-2018","81.8","22.19","0"
"13-05-2018","81.8","22.19","0"
"14-05-2018","81.8","22.19","0"
"15-05-2018","81.8","22.19","0"
"16-05-2018","81.86","22.21","0"
"17-05-2018","81.92","22.22","0"
"18-05-2018","81.99","22.24","0"
"19-05-2018","82.05","22.26","0"
"20-05-2018","82.11","22.27","0"
"21-05-2018","82.17","22.29","0"
"22-05-2018","82.23","22.31","0"
"23-05-2018","82.3","22.33","0"
"24-05-2018","82.14","22.28","0"
"25-05-2018","81.98","22.24","0"
"26-05-2018","81.82","22.2","0"
"27-05-2018","81.66","22.15","0"
"28-05-2018","81.5","22.11","0"
"29-05-2018","81.55","22.12","0"
"30-05-2018","81.6","22.14","0"
"31-05-2018","81.65","22.15","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-05-2018","2,262","1,370","1.09","1","890","92","0","0","409"
"02-05-2018","2,707","4,839","3.86","6","776","184","17","7","977"
"03-05-2018","3,499","11,711","9.33","5","690","132","41","85","1,831"
"04-05-2018","2,888","7,214","5.75","4","745","156","3","37","1,165"
"05-05-2018","4,664","20,917","19.78","8","459","254","66","139","3,254"
"06-05-2018","2,929","7,970","6.35","10","684","193","23","27","1,243"
"07-05-2018","4,003","16,117","16.45","11","657","174","28","104","2,389"
"08-05-2018","3,021","9,167","7.31","8","757","117","25","64","1,298"
"09-05-2018","3,387","11,672","9.3","10","698","205","27","59","1,777"
"10-05-2018","4,184","21,672","18.64","13","577","222","23","132","2,707"
"11-05-2018","4,007","19,032","15.17","8","559","158","63","151","2,518"
"12-05-2018","3,614","15,862","12.64","15","632","190","51","95","2,063"
"13-05-2018","3,183","12,352","9.84","9","731","165","27","68","1,541"
"14-05-2018","2,827","5,970","4.76","4","739","175","30","16","1,119"
"15-05-2018","3,778","14,629","15.47","7","661","195","5","73","2,160"
"16-05-2018","2,743","4,838","3.86","5","799","170","7","16","978"
"17-05-2018","2,472","2,916","2.32","0","800","160","0","0","666"
"18-05-2018","2,653","5,455","4.35","6","758","196","0","0","944"
"19-05-2018","4,185","18,145","18.47","5","540","255","13","100","2,655"
"20-05-2018","3,104","9,855","7.85","1","646","235","14","27","1,410"
"21-05-2018","3,931","17,303","13.83","28","451","216","57","108","2,416"
"22-05-2018","2,815","6,501","5.18","0","713","223","2","9","1,144"
"23-05-2018","3,581","12,211","9.73","11","679","102","34","112","1,932"
"24-05-2018","3,476","10,895","8.68","9","568","251","30","58","1,905"
"25-05-2018","3,611","10,523","8.33","6","656","202","51","71","2,054"
"26-05-2018","4,915","20,665","16.47","17","473","387","126","102","3,687"
"27-05-2018","3,205","12,632","10.07","6","631","195","13","65","1,613"
"28-05-2018","3,720","14,804","11.9","3","692","131","17","139","2,121"
"29-05-2018","2,680","6,428","5.12","3","826","117","3","38","930"
"30-05-2018","3,166","8,266","6.59","13","722","110","37","83","1,482"
"31-05-2018","3,599","14,317","11.41","6","733","89","34","140","1,990"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"31-05-2018 12:05 am","31-05-2018 7:29 am","359","85","31","444","72","230","57"
"29-05-2018 11:19 pm","30-05-2018 7:27 am","418","70","28","488","88","269","61"
"28-05-2018 11:38 pm","29-05-2018 7:14 am","368","88","33","456","24","281","63"
"27-05-2018 11:43 pm","28-05-2018 7:24 am","375","86","25","461","28","293","54"
"27-05-2018 2:05 am","27-05-2018 11:01 am","463","73","43","536","101","233","129"
"26-05-2018 3:12 am","26-05-2018 9:04 am","291","61","25","352","20","198","73"
"24-05-2018 11:28 pm","25-05-2018 7:08 am","366","94","27","460","42","235","89"
"23-05-2018 10:36 pm","24-05-2018 7:29 am","437","96","29","533","88","253","96"
"22-05-2018 11:08 pm","23-05-2018 7:41 am","415","98","26","513","70","277","68"
"21-05-2018 11:23 pm","22-05-2018 7:36 am","414","79","34","493","52","257","105"
"20-05-2018 11:06 pm","21-05-2018 9:14 am","497","111","36","608","70","332","95"
"20-05-2018 1:19 am","20-05-2018 9:57 am","404","114","33","518","52","252","100"
"19-05-2018 12:15 am","19-05-2018 9:07 am","427","105","32","532","49","263","115"
"17-05-2018 11:16 pm","18-05-2018 7:22 am","408","78","29","486","71","249","88"
"16-05-2018 11:10 pm","17-05-2018 7:10 am","397","83","32","480","66","258","73"
"15-05-2018 11:11 pm","16-05-2018 6:39 am","372","76","23","448","50","235","87"
"14-05-2018 11:24 pm","15-05-2018 7:50 am","419","87","24","506","89","240","90"
"13-05-2018 11:26 pm","14-05-2018 7:26 am","391","89","32","480","40","265","86"
"13-05-2018 1:26 am","13-05-2018 8:55 am","372","77","24","449","77","208","87"
"12-05-2018 12:43 am","12-05-2018 8:35 am","424","48","29","472","141","172","111"
"11-05-2018 1:14 am","11-05-2018 9:43 am","404","105","26","509","78","214","112"
"10-05-2018 12:08 am","10-05-2018 8:14 am","392","94","31","486","67","219","106"
"08-05-2018 11:48 pm","09-05-2018 7:19 am","370","81","28","451","57","263","50"
"07-05-2018 11:14 pm","08-05-2018 7:11 am","397","80","30","477","39","257","101"
"06-05-2018 11:08 pm","07-05-2018 7:05 am","387","90","27","477","45","266","76"
"06-05-2018 1:03 am","06-05-2018 9:36 am","422","91","40","513","66","272","84"
"05-05-2018 1:08 am","05-05-2018 9:50 am","448","74","43","522","80","299","69"
"03-05-2018 11:15 pm","04-05-2018 7:34 am","422","77","26","499","76","276","70"
"02-05-2018 11:34 pm","03-05-2018 7:46 am","392","100","29","492","44","279","69"
"01-05-2018 11:22 pm","02-05-2018 6:58 am","378","78","26","456","44","275","59"
"30-04-2018 11:30 pm","01-05-2018 7:08 am","362","96","27","458","9","254","99"

