Body
Date,Weight,BMI,Fat
"01-06-2018","81.55","22.12","0"
"02-06-2018","81.56","22.12","0"
"03-06-2018","81.57","22.13","0"
"04-06-2018","81.58","22.13","0"
"05-06-2018","81.6","22.13","0"
"06-06-2018","81.61","22.14","0"
"07-06-2018","81.62","22.14","0"
"08-06-2018","81.63","22.14","0"
"09-06-2018","81.64","22.15","0"
"10-06-2018","81.66","22.15","0"
"11-06-2018","81.67","22.15","0"
"12-06-2018","81.68","22.16","0"
"13-06-2018","81.7","22.16","0"
"14-06-2018","81.57","22.13","0"
"15-06-2018","81.43","22.09","0"
"16-06-2018","81.3","22.05","0"
"17-06-2018","81.17","22.02","0"
"18-06-2018","81.04","21.98","0"
"19-06-2018","80.9","21.95","0"
"20-06-2018","80.91","21.95","0"
"21-06-2018","80.92","21.95","0"
"22-06-2018","80.94","21.96","0"
"23-06-2018","80.95","21.96","0"
"24-06-2018","80.96","21.96","0"
"25-06-2018","80.97","21.97","0"
"26-06-2018","80.98","21.97","0"
"27-06-2018","81","21.97","0"
"28-06-2018","81.08","21.99","0"
"29-06-2018","81.15","22.01","0"
"30-06-2018","81.22","22.03","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-06-2018","4,146","18,834","15.01","25","521","184","42","157","2,690"
"02-06-2018","3,883","17,166","13.68","62","589","190","32","124","2,320"
"03-06-2018","3,731","19,054","15.18","42","524","290","78","51","2,279"
"04-06-2018","3,539","12,986","10.35","50","628","314","24","34","2,009"
"05-06-2018","2,761","8,146","6.49","13","679","215","14","9","1,122"
"06-06-2018","3,332","13,718","10.93","13","639","299","33","32","1,811"
"07-06-2018","3,160","13,694","10.91","1","716","179","30","57","1,551"
"08-06-2018","3,109","12,328","9.83","20","696","242","12","45","1,544"
"09-06-2018","2,986","9,282","7.4","10","719","228","22","15","1,314"
"10-06-2018","3,075","12,566","10.02","11","642","206","27","37","1,440"
"11-06-2018","3,429","14,504","11.61","9","705","168","28","87","1,845"
"12-06-2018","2,743","7,311","5.83","7","768","164","25","22","1,062"
"13-06-2018","3,635","15,255","15.85","10","697","165","16","84","2,022"
"14-06-2018","2,185","1,757","1.4","0","897","80","0","0","326"
"15-06-2018","2,496","4,775","3.81","4","813","118","13","11","731"
"16-06-2018","4,219","21,150","20.75","28","555","281","27","99","2,770"
"17-06-2018","2,864","7,892","6.29","7","675","241","9","5","1,230"
"18-06-2018","3,340","14,471","11.53","8","747","121","34","94","1,694"
"19-06-2018","2,795","8,217","6.52","7","743","188","19","13","1,113"
"20-06-2018","2,904","9,093","7.25","13","745","177","26","31","1,242"
"21-06-2018","2,823","8,285","6.54","9","746","193","20","18","1,155"
"22-06-2018","2,727","6,467","5.15","13","797","194","2","10","1,020"
"23-06-2018","2,685","6,289","5.01","9","767","178","8","12","961"
"24-06-2018","2,394","4,141","3.3","4","814","133","3","9","622"
"25-06-2018","2,503","4,874","3.88","9","781","124","8","15","729"
"26-06-2018","2,701","7,606","6.06","9","772","129","29","16","942"
"27-06-2018","2,692","7,113","5.67","10","764","180","16","12","998"
"28-06-2018","2,843","9,254","7.38","4","758","179","13","34","1,149"
"29-06-2018","3,501","16,050","12.79","10","620","228","37","71","1,927"
"30-06-2018","3,249","11,778","9.39","10","574","298","7","24","1,668"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"30-06-2018 12:16 am","30-06-2018 9:13 am","451","86","33","537","85","277","89"
"28-06-2018 11:29 pm","29-06-2018 7:33 am","416","68","32","484","77","233","106"
"27-06-2018 11:31 pm","28-06-2018 7:07 am","392","64","27","456","80","254","58"
"26-06-2018 11:26 pm","27-06-2018 7:14 am","399","69","27","468","70","236","93"
"25-06-2018 11:09 pm","26-06-2018 7:23 am","428","66","31","494","94","244","90"
"24-06-2018 10:49 pm","25-06-2018 7:21 am","411","101","31","512","55","276","80"
"24-06-2018 2:08 am","24-06-2018 10:09 am","400","81","24","481","64","228","108"
"22-06-2018 11:28 pm","23-06-2018 7:24 am","394","81","33","475","64","257","73"
"21-06-2018 11:42 pm","22-06-2018 6:59 am","361","76","18","437","52","241","68"
"20-06-2018 11:20 pm","21-06-2018 7:03 am","383","80","29","463","50","256","77"
"19-06-2018 11:43 pm","20-06-2018 7:24 am","380","81","23","461","31","286","63"
"18-06-2018 11:26 pm","19-06-2018 7:23 am","402","75","30","477","85","228","89"
"17-06-2018 11:39 pm","18-06-2018 7:03 am","370","74","29","444","57","216","97"
"17-06-2018 12:31 am","17-06-2018 9:01 am","416","94","38","510","62","264","90"
"16-06-2018 12:23 am","16-06-2018 8:21 am","406","72","30","478","80","225","101"
"14-06-2018 11:39 pm","15-06-2018 7:44 am","416","69","30","485","71","268","77"
"13-06-2018 11:33 pm","14-06-2018 7:17 am","397","66","29","463","60","248","89"
"12-06-2018 11:22 pm","13-06-2018 7:20 am","416","62","32","478","71","255","90"
"11-06-2018 11:19 pm","12-06-2018 7:01 am","380","81","28","461","74","216","90"
"10-06-2018 11:27 pm","11-06-2018 6:59 am","392","60","30","452","76","213","103"
"10-06-2018 12:19 am","10-06-2018 9:07 am","434","94","34","528","109","235","90"
"08-06-2018 11:59 pm","09-06-2018 7:35 am","386","70","28","456","61","235","90"
"07-06-2018 11:49 pm","08-06-2018 7:14 am","365","80","29","445","37","258","70"
"06-06-2018 11:33 pm","07-06-2018 7:12 am","369","89","22","458","35","273","61"
"06-06-2018 12:03 am","06-06-2018 7:20 am","357","80","28","437","25","262","70"
"04-06-2018 11:02 pm","05-06-2018 7:45 am","429","94","35","523","76","257","96"
"04-06-2018 1:00 am","04-06-2018 8:20 am","370","70","29","440","60","238","72"
"03-06-2018 12:22 am","03-06-2018 8:39 am","459","38","0","497","N/A","N/A","N/A"
"02-06-2018 12:22 am","02-06-2018 8:47 am","456","49","5","505","N/A","N/A","N/A"
"01-06-2018 12:28 am","01-06-2018 9:24 am","461","75","1","536","N/A","N/A","N/A"

