Date;Weight;BMI;Fat
1-3-2018;82.7;22.43;0
2-3-2018;82.84;22.47;0
3-3-2018;82.98;22.51;0
4-3-2018;83.12;22.55;0
5-3-2018;83.26;22.59;0
6-3-2018;83.4;22.62;0
7-3-2018;83.36;22.61;0
8-3-2018;83.31;22.6;0
9-3-2018;83.27;22.59;0
10-3-2018;83.22;22.58;0
11-3-2018;83.18;22.56;0
12-3-2018;83.14;22.55;0
13-3-2018;83.09;22.54;0
14-3-2018;83.05;22.53;0
15-3-2018;83;22.52;0
16-3-2018;83;22.52;0
17-3-2018;83;22.52;0
18-3-2018;83;22.52;0
19-3-2018;83;22.52;0
20-3-2018;83;22.52;0
21-3-2018;83;22.52;0
22-3-2018;83;22.52;0
23-3-2018;83;22.52;0
24-3-2018;83;22.52;0
25-3-2018;83;22.52;0
26-3-2018;83;22.52;0
27-3-2018;83;22.52;0
28-3-2018;82.74;22.44;0
29-3-2018;82.48;22.37;0
30-3-2018;82.22;22.3;0
31-3-2018;81.96;22.23;0
