Body;;;;Activities;;;;;;;;;Sleep;;;;;;;;
Date;Weight;BMI;Fat;Calories Burned;Steps;Distance;Floors;Minutes Sedentary;Minutes Lightly Active;Minutes Fairly Active;Minutes Very Active;Activity Calories;Start Time;End Time;Minutes Asleep;Minutes Awake;Number of Awakenings;Time in Bed;Minutes REM Sleep;Minutes Light Sleep;Minutes Deep Sleep
1-3-2018;82.7;22.43;0;2,982;4,908;3.91;28;856;111;50;38;1,249;1-3-2018 23:38;2-3-2018 07:29;380;91;31;471;41;236;103
2-3-2018;82.84;22.47;0;3,848;18,779;16.91;51;679;177;15;98;2,232;1-3-2018 00:17;1-3-2018 06:42;325;60;20;385;62;218;45
3-3-2018;82.98;22.51;0;2,869;5,316;4.24;2;798;95;1;48;1,077;3-3-2018 00:53;3-3-2018 09:11;419;79;38;498;85;239;95
4-3-2018;83.12;22.55;0;2,708;5,506;4.39;8;753;191;18;6;979;4-3-2018 23:09;5-3-2018 06:31;383;59;28;442;83;242;58
5-3-2018;83.26;22.59;0;2,753;6,771;5.4;6;787;185;6;20;1,042;4-3-2018 00:16;4-3-2018 08:08;375;97;20;472;31;298;46
6-3-2018;83.4;22.62;0;2,868;7,004;5.58;4;777;166;11;32;1,151;5-3-2018 23:31;6-3-2018 07:05;386;68;31;454;53;271;62
7-3-2018;83.36;22.61;0;2,229;1,387;1.11;0;864;87;0;0;340;6-3-2018 22:51;7-3-2018 07:00;419;70;31;489;80;248;91
8-3-2018;83.31;22.6;0;2,882;6,62;5.28;11;758;180;9;32;1,166;7-3-2018 23:26;8-3-2018 07:07;374;87;25;461;48;262;64
9-3-2018;83.27;22.59;0;3,658;16,552;14.78;11;673;180;15;82;2,03;8-3-2018 23:25;9-3-2018 07:35;414;76;38;490;83;268;63
10-3-2018;83.22;22.58;0;3,24;10,831;10.35;3;802;140;1;52;1,44;10-3-2018 00:30;10-3-2018 07:55;346;99;32;445;38;272;36
11-3-2018;83.18;22.56;0;3,054;10,121;8.07;3;707;210;12;42;1,399;11-3-2018 23:00;12-3-2018 07:01;415;66;23;481;94;249;72
12-3-2018;83.14;22.55;0;3,418;13,809;11.01;10;712;129;26;92;1,763;11-3-2018 02:12;11-3-2018 10:01;391;78;39;469;42;271;78
13-3-2018;83.09;22.54;0;2,681;5,52;4.42;13;867;144;10;17;901;13-3-2018 23:33;14-3-2018 07:48;410;85;33;495;47;277;86
14-3-2018;83.05;22.53;0;2,974;11,183;8.91;12;748;111;22;64;1,266;13-3-2018 00:24;13-3-2018 07:06;342;60;28;402;60;229;53
15-3-2018;83;22.52;0;2,814;8,137;6.49;27;775;156;14;23;1,067;14-3-2018 23:11;15-3-2018 07:03;383;89;21;472;38;276;69
16-3-2018;83;22.52;0;3,437;15,273;13.92;21;731;126;21;78;1,731;15-3-2018 23:41;16-3-2018 07:45;409;75;36;484;97;253;59
17-3-2018;83;22.52;0;3,213;10,888;8.78;30;614;156;42;58;1,527;17-3-2018 00:05;17-3-2018 09:35;466;104;42;570;75;288;103
18-3-2018;83;22.52;0;3,26;11,748;9.36;31;716;263;18;39;1,683;18-3-2018 23:14;19-3-2018 07:11;380;97;23;477;41;268;71
19-3-2018;83;22.52;0;2,811;6,254;4.98;12;779;144;9;31;1,062;18-3-2018 04:08;18-3-2018 10:52;336;68;27;404;28;232;76
20-3-2018;83;22.52;0;3,177;8,322;6.6;16;731;166;45;55;1,523;19-3-2018 23:40;20-3-2018 07:03;373;70;32;443;66;225;82
21-3-2018;83;22.52;0;2,628;4,397;3.5;5;834;98;9;36;848;20-3-2018 23:40;21-3-2018 07:23;398;65;23;463;84;243;71
22-3-2018;83;22.52;0;2,435;3,531;2.81;2;907;92;21;5;546;22-3-2018 23:59;23-3-2018 07:23;366;78;27;444;60;240;66
23-3-2018;83;22.52;0;2,964;9,08;7.24;12;781;145;33;37;1,246;22-3-2018 00:32;22-3-2018 07:28;346;69;24;415;36;249;61
24-3-2018;83;22.52;0;4,453;22,746;20.56;12;521;250;38;130;2,977;24-3-2018 01:21;24-3-2018 09:43;442;59;31;501;90;267;85
25-3-2018;83;22.52;0;3,195;12,208;10.62;9;729;155;11;70;1,504;25-3-2018 23:30;26-3-2018 07:14;375;89;20;464;64;270;41
26-3-2018;83;22.52;0;2,818;4,679;3.73;0;789;156;8;23;1,076;25-3-2018 03:05;25-3-2018 11:00;377;98;33;475;30;262;85
27-3-2018;83;22.52;0;2,392;1,714;1.37;0;861;120;0;0;525;26-3-2018 23:25;27-3-2018 07:04;390;69;26;459;61;258;71
28-3-2018;82.74;22.44;0;3,132;11,936;9.54;16;703;126;36;73;1,471;27-3-2018 23:20;28-3-2018 07:42;418;84;28;502;65;273;80
29-3-2018;82.48;22.37;0;3,003;7,071;5.64;25;803;220;10;11;1,313;28-3-2018 23:41;29-3-2018 06:17;341;55;25;396;60;209;72
30-3-2018;82.22;22.3;0;2,666;4,759;3.79;12;748;173;9;14;908;29-3-2018 23:01;30-3-2018 07:17;431;65;35;496;52;306;73
31-3-2018;81.96;22.23;0;3,157;8,475;6.75;14;733;218;7;41;1,503;30-3-2018 23:51;31-3-2018 07:12;364;77;23;441;67;230;67
