Date;Weight;BMI;Fat;Calories Burned;Steps;Distance;Floors;Minutes Sedentary;Minutes Lightly Active;Minutes Fairly Active;Minutes Very Active;Activity Calories;Start Time;End Time;Minutes Asleep;Minutes Awake;Number of Awakenings;Time in Bed;Minutes REM Sleep;Minutes Light Sleep;Minutes Deep Sleep
1-3-2018;82.7;22.43;0,00;2,98;4,91;3.91;28,00;856,00;111,00;50,00;38,00;1,25;1-3-2018 23:38;2-3-2018 07:29;380,00;91,00;31,00;471,00;41,00;236,00;103,00
2-3-2018;82.84;22.47;0,00;3,85;18,78;16.91;51,00;679,00;177,00;15,00;98,00;2,23;1-3-2018 00:17;1-3-2018 06:42;325,00;60,00;20,00;385,00;62,00;218,00;45,00
3-3-2018;82.98;22.51;0,00;2,87;5,32;4.24;2,00;798,00;95,00;1,00;48,00;1,08;3-3-2018 00:53;3-3-2018 09:11;419,00;79,00;38,00;498,00;85,00;239,00;95,00
4-3-2018;83.12;22.55;0,00;2,71;5,51;4.39;8,00;753,00;191,00;18,00;6,00;979,00;4-3-2018 23:09;5-3-2018 06:31;383,00;59,00;28,00;442,00;83,00;242,00;58,00
5-3-2018;83.26;22.59;0,00;2,75;6,77;5.4;6,00;787,00;185,00;6,00;20,00;1,04;4-3-2018 00:16;4-3-2018 08:08;375,00;97,00;20,00;472,00;31,00;298,00;46,00
6-3-2018;83.4;22.62;0,00;2,87;7,00;5.58;4,00;777,00;166,00;11,00;32,00;1,15;5-3-2018 23:31;6-3-2018 07:05;386,00;68,00;31,00;454,00;53,00;271,00;62,00
7-3-2018;83.36;22.61;0,00;2,23;1,39;1.11;0,00;864,00;87,00;0,00;0,00;340,00;6-3-2018 22:51;7-3-2018 07:00;419,00;70,00;31,00;489,00;80,00;248,00;91,00
8-3-2018;83.31;22.6;0,00;2,88;6,62;5.28;11,00;758,00;180,00;9,00;32,00;1,17;7-3-2018 23:26;8-3-2018 07:07;374,00;87,00;25,00;461,00;48,00;262,00;64,00
9-3-2018;83.27;22.59;0,00;3,66;16,55;14.78;11,00;673,00;180,00;15,00;82,00;2,03;8-3-2018 23:25;9-3-2018 07:35;414,00;76,00;38,00;490,00;83,00;268,00;63,00
10-3-2018;83.22;22.58;0,00;3,24;10,83;10.35;3,00;802,00;140,00;1,00;52,00;1,44;10-3-2018 00:30;10-3-2018 07:55;346,00;99,00;32,00;445,00;38,00;272,00;36,00
11-3-2018;83.18;22.56;0,00;3,05;10,12;8.07;3,00;707,00;210,00;12,00;42,00;1,40;11-3-2018 23:00;12-3-2018 07:01;415,00;66,00;23,00;481,00;94,00;249,00;72,00
12-3-2018;83.14;22.55;0,00;3,42;13,81;11.01;10,00;712,00;129,00;26,00;92,00;1,76;11-3-2018 02:12;11-3-2018 10:01;391,00;78,00;39,00;469,00;42,00;271,00;78,00
13-3-2018;83.09;22.54;0,00;2,68;5,52;4.42;13,00;867,00;144,00;10,00;17,00;901,00;13-3-2018 23:33;14-3-2018 07:48;410,00;85,00;33,00;495,00;47,00;277,00;86,00
14-3-2018;83.05;22.53;0,00;2,97;11,18;8.91;12,00;748,00;111,00;22,00;64,00;1,27;13-3-2018 00:24;13-3-2018 07:06;342,00;60,00;28,00;402,00;60,00;229,00;53,00
15-3-2018;83,00;22.52;0,00;2,81;8,14;6.49;27,00;775,00;156,00;14,00;23,00;1,07;14-3-2018 23:11;15-3-2018 07:03;383,00;89,00;21,00;472,00;38,00;276,00;69,00
16-3-2018;83,00;22.52;0,00;3,44;15,27;13.92;21,00;731,00;126,00;21,00;78,00;1,73;15-3-2018 23:41;16-3-2018 07:45;409,00;75,00;36,00;484,00;97,00;253,00;59,00
17-3-2018;83,00;22.52;0,00;3,21;10,89;8.78;30,00;614,00;156,00;42,00;58,00;1,53;17-3-2018 00:05;17-3-2018 09:35;466,00;104,00;42,00;570,00;75,00;288,00;103,00
18-3-2018;83,00;22.52;0,00;3,26;11,75;9.36;31,00;716,00;263,00;18,00;39,00;1,68;18-3-2018 23:14;19-3-2018 07:11;380,00;97,00;23,00;477,00;41,00;268,00;71,00
19-3-2018;83,00;22.52;0,00;2,81;6,25;4.98;12,00;779,00;144,00;9,00;31,00;1,06;18-3-2018 04:08;18-3-2018 10:52;336,00;68,00;27,00;404,00;28,00;232,00;76,00
20-3-2018;83,00;22.52;0,00;3,18;8,32;6.6;16,00;731,00;166,00;45,00;55,00;1,52;19-3-2018 23:40;20-3-2018 07:03;373,00;70,00;32,00;443,00;66,00;225,00;82,00
21-3-2018;83,00;22.52;0,00;2,63;4,40;3.5;5,00;834,00;98,00;9,00;36,00;848,00;20-3-2018 23:40;21-3-2018 07:23;398,00;65,00;23,00;463,00;84,00;243,00;71,00
22-3-2018;83,00;22.52;0,00;2,44;3,53;2.81;2,00;907,00;92,00;21,00;5,00;546,00;22-3-2018 23:59;23-3-2018 07:23;366,00;78,00;27,00;444,00;60,00;240,00;66,00
