Date;Start Time;End Time;Minutes Asleep;Minutes Awake;Number of Awakenings;Time in Bed;Minutes REM Sleep;Minutes Light Sleep;Minutes Deep Sleep
1-3-2018;1-3-2018 00:17;1-3-2018 06:42;325;60;20;385;62;218;45
2-3-2018;1-3-2018 23:38;2-3-2018 07:29;380;91;31;471;41;236;103
3-3-2018;3-3-2018 00:53;3-3-2018 09:11;419;79;38;498;85;239;95
4-3-2018;4-3-2018 00:16;4-3-2018 08:08;375;97;20;472;31;298;46
5-3-2018;4-3-2018 23:09;5-3-2018 06:31;383;59;28;442;83;242;58
6-3-2018;5-3-2018 23:31;6-3-2018 07:05;386;68;31;454;53;271;62
7-3-2018;6-3-2018 22:51;7-3-2018 07:00;419;70;31;489;80;248;91
8-3-2018;7-3-2018 23:26;8-3-2018 07:07;374;87;25;461;48;262;64
9-3-2018;8-3-2018 23:25;9-3-2018 07:35;414;76;38;490;83;268;63
10-3-2018;10-3-2018 00:30;10-3-2018 07:55;346;99;32;445;38;272;36
11-3-2018;11-3-2018 02:12;11-3-2018 10:01;391;78;39;469;42;271;78
12-3-2018;11-3-2018 23:00;12-3-2018 07:01;415;66;23;481;94;249;72
13-3-2018;13-3-2018 00:24;13-3-2018 07:06;342;60;28;402;60;229;53
14-3-2018;13-3-2018 23:33;14-3-2018 07:48;410;85;33;495;47;277;86
15-3-2018;14-3-2018 23:11;15-3-2018 07:03;383;89;21;472;38;276;69
16-3-2018;15-3-2018 23:41;16-3-2018 07:45;409;75;36;484;97;253;59
17-3-2018;17-3-2018 00:05;17-3-2018 09:35;466;104;42;570;75;288;103
18-3-2018;18-3-2018 04:08;18-3-2018 10:52;336;68;27;404;28;232;76
19-3-2018;18-3-2018 23:14;19-3-2018 07:11;380;97;23;477;41;268;71
20-3-2018;19-3-2018 23:40;20-3-2018 07:03;373;70;32;443;66;225;82
21-3-2018;20-3-2018 23:40;21-3-2018 07:23;398;65;23;463;84;243;71
22-3-2018;22-3-2018 00:32;22-3-2018 07:28;346;69;24;415;36;249;61
23-3-2018;22-3-2018 23:59;23-3-2018 07:23;366;78;27;444;60;240;66
24-3-2018;24-3-2018 01:21;24-3-2018 09:43;442;59;31;501;90;267;85
25-3-2018;25-3-2018 03:05;25-3-2018 11:00;377;98;33;475;30;262;85
26-3-2018;25-3-2018 23:30;26-3-2018 07:14;375;89;20;464;64;270;41
27-3-2018;26-3-2018 23:25;27-3-2018 07:04;390;69;26;459;61;258;71
28-3-2018;27-3-2018 23:20;28-3-2018 07:42;418;84;28;502;65;273;80
29-3-2018;28-3-2018 23:41;29-3-2018 06:17;341;55;25;396;60;209;72
30-3-2018;29-3-2018 23:01;30-3-2018 07:17;431;65;35;496;52;306;73
31-3-2018;30-3-2018 23:51;31-3-2018 07:12;364;77;23;441;67;230;67
